,name,host_id,host_name,host_location,latitude,longitude,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,amenities,first_review,last_review,license,hosts_time_as_user_years,hosts_time_as_host_years,host_listings_count,accommodates,bathrooms,bedrooms,beds,reviews_per_month,price,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count
992,Fantástico apartamento: ROS.,6797428,Bellart,No especificado,41.40975,2.17946,t,t,t,el Camp de l'Arpa del Clot,Sant Martí,Entire rental unit,Entire home/apt,"[""Dryer"", ""Crib"", ""Dishes and silverware"", ""Children\u2019s dinnerware"", ""Heating"", ""Stove"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Building staff"", ""Coffee maker"", ""Shampoo"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Fire extinguisher"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""High chair"", ""Iron"", ""Self check-in"", ""Essentials""]",2016-10-24,2026-06-10,Spain - National registration number<br />ESFCTU00000807300035973900000000000000000HUTB-0020912<br /><br />Barcelona - Regional registration number<br />HUTB-002091,13.0,11.0,16.0,4.0,1.0,3.0,3.0,0.73,177.33,3.0,999.0,999.0,3.0,999.0,5,8,14,176,86.0,17.0,3.0,10.0,102,18088.0,4.81,4.88,4.91,4.59,4.81,4.66,4.68,15.0
993,Sant Antoni centric flat with terrace,1994100,Marcello Russo,"Barcelona, Spain",41.3801,2.16034,t,t,t,Sant Antoni,Eixample,Entire condo,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: drip coffee maker, espresso machine"", ""Private entrance"", ""Central air conditioning"", ""Freezer"", ""Paid parking garage off premises"", ""Dishes and silverware"", ""Coffee"", ""Single level home"", ""Crib - available upon request"", ""Heating"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Patio or balcony"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Portable fans"", ""Outdoor dining area"", ""Baby bath"", ""Cleaning available during stay"", ""Electrolux stainless steel gas stove"", ""Microwave"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Shampoo"", ""Wine glasses"", ""Cooking basics"", ""Clamp on table seat high chair - available upon request"", ""Pack \u2019n play/Travel crib - available upon request"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""Iron"", ""Room-darkening shades"", ""Essentials"", ""Outdoor furniture""]",2014-10-13,2026-06-18,Spain - National registration number<br />ESFCTU00000805600047677400000000000000000HUTB-0114505<br /><br />Barcelona - Regional registration number<br />HUTB-011450,14.0,14.0,4.0,2.0,1.0,2.0,3.0,2.25,246.0,1.0,1125.0,1125.0,3.0,1125.0,3,5,16,249,5.0,39.0,4.0,1.0,234,57564.0,4.7,4.76,4.75,4.89,4.9,4.86,4.65,3.0
994,Nice interior room at artistic place,2553762,Inma,"Barcelona, Spain",41.37379,2.16134,f,t,t,el Poble Sec,Sants-Montjuïc,Private room in rental unit,Private room,"[""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Hot water"", ""Wifi"", ""Essentials""]",2017-02-28,2018-11-05,Sin licencia registrada,14.0,11.0,1.0,1.0,1.0,2.0,2.0,0.35,177.67,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,40.0,0.0,0.0,0.0,0,0.0,4.85,4.98,4.83,4.98,4.98,4.93,4.9,1.0
995,Pelayo attic Deluxe H4 - BCN54,2151490,Juan,"Barcelona, Spain",41.38494,2.16554,f,t,t,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Private entrance"", ""Central air conditioning"", ""Children\u2019s books and toys"", ""Freezer"", ""Oven"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Coffee"", ""Pets allowed"", ""First aid kit"", ""Babysitter recommendations"", ""Single level home"", ""Crib - available upon request"", ""Smoke alarm"", ""Doorman"", ""Heating"", ""Laundromat nearby"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""De ducha shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Paid parking lot off premises"", ""Dedicated workspace"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Wine glasses"", ""Blender"", ""Cooking basics"", ""City skyline view"", ""Hot water"", ""Body soap"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""High chair"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Books and reading material"", ""Safe"", ""Essentials"", ""Extra pillows and blankets"", ""Sound system with Bluetooth and aux"", ""Bidet""]",2015-04-08,2026-06-19,Barcelona - Regional registration number<br />HUTB-007560<br /><br />Spain - National registration number<br />ESFCTU90C40805600041159100000000000000000HUTB-0075600,14.0,14.0,1.0,6.0,2.0,2.0,5.0,2.1,362.55,1.0,1125.0,1125.0,2.1,1125.0,6,16,33,262,5.0,2.0,0.0,1.0,255,4900.0,4.78,4.79,4.84,4.83,4.78,4.95,4.61,1.0
996,Peaceful easy feeling downtown BCN,21098113,Bente,"Oslo, Norway",41.39812,2.17524,t,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Freezer"", ""Oven"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Paid parking garage off premises"", ""Coffee"", ""Smoke alarm"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Whirlpool induction stove"", ""Dedicated workspace"", ""Sonos Bluetooth sound system"", ""Microwave"", ""Drying rack for clothing"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Baking sheet"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Fire extinguisher"", ""SMEG refrigerator"", ""Shower gel"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Books and reading material"", ""Essentials"", ""Fast wifi \u2013 361 Mbps"", ""Outdoor furniture"", ""Conditioner""]",2015-04-16,2026-06-14,Barcelona - Regional registration number<br />HUTB-007472<br /><br />Spain - National registration number<br />ESFCTU00000807300026346300000000000000000HUTB-0074722,11.0,11.0,1.0,4.0,1.0,2.0,3.0,1.66,423.0,3.0,8.0,8.0,3.8,7.8,22,52,82,345,5.0,22.0,3.0,22.0,132,55836.0,4.86,4.9,4.93,4.92,4.96,4.8,4.68,1.0
997,Apartment in the heart of Barcelona with WiFi,15775899,Antonio,"Barcelona, Spain",41.38909,2.17514,t,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Free dryer"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Coffee"", ""First aid kit"", ""Single level home"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Wine glasses"", ""Blender"", ""Cooking basics"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hot water"", ""Body soap"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Shower gel"", ""High chair"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Essentials"", ""Radiant heating"", ""Extra pillows and blankets"", ""Conditioner"", ""Bidet""]",2015-01-03,2026-06-14,Spain - National registration number<br />ESFCTU00000805400052805900000000000000000HUTB-0116419,12.0,12.0,10.0,5.0,2.0,2.0,5.0,1.8,294.42,3.0,1125.0,1125.0,5.1,1125.0,8,19,40,309,5.0,24.0,2.0,22.0,144,42396.0,4.83,4.89,4.8,4.88,4.92,4.95,4.72,9.0
998,Cozy apartment near Camp Nou!,21166896,Elena,"Barcelona, Spain",41.38559809848827,2.1301223708428214,f,t,t,les Corts,Les Corts,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Refrigerator"", ""Hangers"", ""Host greets you"", ""Kitchen"", ""Hair dryer"", ""Iron"", ""HDTV with standard cable"", ""Dishes and silverware"", ""Cooking basics"", ""Essentials"", ""Bathtub"", ""Hot water"", ""Crib - available upon request"", ""Elevator"", ""Heating""]",2014-10-05,2026-05-08,Barcelona - Regional registration number<br />HUTB-012686<br /><br />Spain - National registration number<br />ESFCTU00000806000006147200000000000000000HUTB-0126867,11.0,11.0,1.0,3.0,1.0,2.0,3.0,1.43,139.5,1.0,1125.0,1125.0,2.0,1125.0,2,8,23,33,5.0,22.0,0.0,25.0,132,18414.0,4.24,4.36,4.42,4.54,4.58,4.66,4.16,1.0
999,Bed&BCN Enamorats Barcelona,12060104,María Teresa,"Barcelona, Spain",41.4068042,2.1838389,f,t,t,el Camp de l'Arpa del Clot,Sant Martí,Entire rental unit,Entire home/apt,"[""Dining table"", ""Refrigerator"", ""Wifi"", ""Air conditioning"", ""Hot water kettle"", ""Clothing storage: closet"", ""Kitchen"", ""Coffee maker"", ""Room-darkening shades"", ""TV"", ""Freezer"", ""Oven"", ""Self check-in"", ""Smart lock"", ""Essentials"", ""Microwave""]",2014-09-21,2026-06-09,Barcelona - Regional registration number<br />HUTB-010026<br /><br />Spain - National registration number<br />ESFCTU00000807300085324400000000000000HUTB-010026-464,12.0,11.0,1.0,3.0,1.0,2.0,4.0,1.38,281.0,2.0,999.0,999.0,4.3,999.0,5,17,30,293,5.0,36.0,1.0,42.0,216,60696.0,4.61,4.77,4.79,4.74,4.57,4.62,4.56,1.0
1000,Barcelona | Apt near Sagrada Familia for 6,299462,Stay Unique,"Barcelona, Spain",41.40192031860352,2.1707611083984375,f,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Wine glasses"", ""Baking sheet"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Shower gel"", ""Cleaning products"", ""Iron"", ""Essentials""]",2014-10-11,2026-06-09,Spain - National registration number<br />ESFCTU00000807300028497000000000000000000HUTB-0047685<br /><br />Barcelona - Regional registration number<br />HUTB-002414,15.0,13.0,7.0,6.0,2.0,3.0,4.0,2.38,444.35,1.0,1125.0,1125.0,3.6,1125.0,5,35,65,340,5.0,26.0,2.0,23.0,156,69319.0,4.57,4.72,4.69,4.75,4.8,4.89,4.54,6.0
1001,Designer LOFT in the heart of BCN.,21357628,Mario,"Barcelona, Spain",41.38262,2.14582,f,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire loft,Entire home/apt,"[""Private patio or balcony"", ""Central air conditioning"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""Free street parking"", ""Heating"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Cooking basics"", ""Backyard"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Host greets you"", ""Iron"", ""Room-darkening shades"", ""75 inch HDTV with Amazon Prime Video, Netflix, HBO Max"", ""Essentials"", ""Extra pillows and blankets""]",2016-04-22,2026-06-14,Barcelona - Regional registration number<br />HUTB-010035<br /><br />Spain - National registration number<br />ESFCTU00000806700033050800000000000000000000019820507,11.0,11.0,2.0,2.0,2.0,1.0,2.0,3.13,269.32,1.0,1125.0,1125.0,1.0,1125.0,5,17,36,311,5.0,49.0,0.0,36.0,255,68677.0,4.73,4.77,4.67,4.87,4.87,4.73,4.59,2.0
1002,Designer LOFT in the very center,21357628,Mario,"Barcelona, Spain",41.38328,2.16084,f,t,t,Sant Antoni,Eixample,Entire loft,Entire home/apt,"[""Private patio or balcony"", ""Standard 0 body soap"", ""Oven"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""Free street parking"", ""Heating"", ""Laundromat nearby"", ""Stove"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Microwave"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Cooking basics"", ""City skyline view"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Beach access"", ""Essentials"", ""Extra pillows and blankets""]",2016-04-25,2026-06-15,Barcelona - Regional registration number<br />HUTB-010311<br /><br />Spain - National registration number<br />ESFCTU000008056000360295000000000000000000HUTB0103111,11.0,11.0,2.0,4.0,1.0,1.0,3.0,3.59,320.0,1.0,120.0,120.0,1.0,120.0,7,13,26,299,5.0,2.0,5.0,39.0,255,4900.0,4.82,4.89,4.8,4.86,4.89,4.93,4.69,2.0
1003,Elegant central apartment,7168856,David,"Barcelona, Spain",41.3928,2.15464,t,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Coffee maker: Nespresso"", ""Dryer"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Paid parking off premises"", ""Doorman"", ""Heating"", ""Stove"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Wifi"", ""Paid parking on premises"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Iron"", ""HDTV with standard cable"", ""Essentials""]",2014-10-06,2026-06-07,Barcelona - Regional registration number<br />HUTB-008147<br /><br />Spain - National registration number<br />ESFCTU00000806600013646200000000000000000HUTB-0081478,12.0,12.0,1.0,4.0,2.0,2.0,3.0,2.84,337.0,2.0,1125.0,1125.0,2.0,1125.0,1,1,1,179,5.0,40.0,2.0,1.0,240,4900.0,4.83,4.87,4.89,4.86,4.88,4.89,4.77,1.0
1004,Central apartment 22,6797428,Bellart,No especificado,41.38453,2.1799,t,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,"[""Crib"", ""Dishes and silverware"", ""Heating"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Wifi"", ""Building staff"", ""Coffee maker"", ""Shampoo"", ""Cooking basics"", ""Fire extinguisher"", ""Washer"", ""Air conditioning"", ""Iron"", ""Self check-in"", ""Essentials""]",2015-08-17,2026-06-21,Spain - National registration number<br />ESFCTU00000811900017250000000000000000000000018646102<br /><br />Barcelona - Regional registration number<br />HUTB-003810,13.0,11.0,16.0,4.0,1.0,3.0,4.0,2.16,190.0,2.0,999.0,999.0,3.0,999.0,4,9,16,68,5.0,35.0,4.0,32.0,210,39900.0,4.81,4.85,4.91,4.89,4.88,4.99,4.73,15.0
1005,Art House Toni 'Consell de Cent & Rocafort',21483975,Apartments Toni Space Barcelona,"Barcelona, Spain",41.37928,2.15184,t,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""50 inch HDTV"", ""Coffee maker: Nespresso"", ""Freezer"", ""Oven"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Coffee"", ""Smoke alarm"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Paid crib - available upon request"", ""Portable fans"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Baby bath - available upon request"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Paid clamp on table seat high chair - available upon request"", ""Shampoo"", ""Ceiling fan"", ""Ethernet connection"", ""Window guards"", ""Wine glasses"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Essentials"", ""Outdoor furniture"", ""Conditioner"", ""Fagor induction stove""]",2015-04-11,2026-05-31,Spain - National registration number<br />ESFCTU00000806700007765600000000000000HUTB-076349-015<br /><br />Barcelona - Regional registration number<br />HUTB-076349,11.0,11.0,19.0,4.0,2.0,2.0,3.0,1.28,324.0,2.0,999.0,999.0,3.5,999.0,7,24,48,150,175.0,32.0,1.0,39.0,192,62208.0,4.87,4.92,4.92,4.95,4.95,4.81,4.76,16.0
1006,Piso de 3 habitaciones cerca del centro,3251553,Julie,"Barcelona, Spain",41.37274,2.16252,f,t,t,el Poble Sec,Sants-Montjuïc,Entire condo,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Paid parking off premises"", ""Children's playroom"", ""Babysitter recommendations"", ""First aid kit"", ""Smoke alarm"", ""Portable heater"", ""Laundromat nearby"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Waterfront"", ""Portable fans"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker: pour-over coffee"", ""Shampoo"", ""Ethernet connection"", ""Wine glasses"", ""Blender"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Fire extinguisher"", ""Long term stays allowed"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Refrigerator"", ""Shower gel"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Beach access"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets"", ""Outdoor furniture""]",2014-12-22,2026-06-08,Barcelona - Regional registration number<br />HUTB-007804<br /><br />Spain - National registration number<br />ESFCTU000008069000241877000000000000000000HUTB0078042,13.0,13.0,1.0,4.0,1.0,3.0,3.0,2.62,198.5,2.0,30.0,30.0,4.0,30.0,1,2,19,79,5.0,31.0,2.0,36.0,186,36921.0,4.74,4.8,4.83,4.88,4.91,4.78,4.62,1.0
1007,Modern bright Duplex Apartment with charm!,1447144,Acomodis Apartments,"Barcelona, Spain",41.37365,2.16701,f,t,t,el Poble Sec,Sants-Montjuïc,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Dryer"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Drying rack for clothing"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Hammock"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""High chair"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Essentials"", ""Extra pillows and blankets""]",2014-10-26,2018-12-29,Spain - National registration number<br />ESFCTU00000806900024325300000000000000000HUTB-0002190,14.0,14.0,7.0,3.0,1.0,2.0,5.0,0.04,263.0,1.0,330.0,330.0,1.1,330.0,30,60,90,365,6.0,0.0,0.0,0.0,0,0.0,4.7,4.8,4.8,4.8,4.9,4.5,4.6,6.0
1008,Villa Victoria Barcelona · Luxury Private Oasis,21793560,Villa Victoria Barcelona By Imanol,"Barcelona, Spain",41.42733,2.16566,t,t,t,la Font d'en Fargues,Horta-Guinardó,Entire villa,Entire home/apt,"[""Hot water kettle"", ""Children\u2019s books and toys"", ""Pets allowed"", ""Stove"", ""Toaster"", ""Drying rack for clothing"", ""Clothing storage"", ""Sun loungers"", ""Shampoo"", ""Luggage dropoff allowed"", ""Baking sheet"", ""Blender"", ""BBQ grill"", ""Body soap"", ""Long term stays allowed"", ""Mountain view"", ""Air conditioning"", ""Shower gel"", ""Outdoor furniture"", ""Freezer"", ""Children\u2019s dinnerware"", ""Coffee"", ""Board games"", ""First aid kit"", ""Smoke alarm"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Hair dryer"", ""Pool table"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""TV with standard cable, DVD player, HBO Max, Netflix"", ""Outdoor shower"", ""Barbecue utensils"", ""Backyard"", ""Hot water"", ""High chair"", ""Safe"", ""Essentials"", ""Extra pillows and blankets"", ""Conditioner"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Laundromat nearby"", ""Kitchen"", ""Pool view"", ""Ping pong table"", ""Dedicated workspace"", ""Ethernet connection"", ""Wine glasses"", ""Private pool - pool cover, pool toys"", ""Washer"", ""Refrigerator"", ""Host greets you"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Game console"", ""Private entrance"", ""Coffee maker: espresso machine"", ""Dryer"", ""Crib"", ""Paid parking off premises"", ""Dining table"", ""Patio or balcony"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Bathtub"", ""Private hot tub"", ""Pack \u2019n play/Travel crib"", ""Sound system"", ""Housekeeping available Monday to Friday"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Changing table"", ""Books and reading material"", ""Bidet""]",2014-12-14,2026-03-31,Spain - National registration number<br />ESFCTU00000811500053284900000000000000000HUTB-0011011<br /><br />Barcelona - Regional registration number<br />HUTB-001101,11.0,11.0,7.0,3.0,1.0,2.0,2.0,0.24,177.7,3.0,1125.0,1125.0,4.1,330.4,12,28,35,285,33.0,1.0,0.0,2.0,6,8456.0,4.94,4.83,4.83,5.0,5.0,4.52,4.74,6.0
1009,"Rambla, 2 bedrooms, bright, central, spacious, AC",21825503,Aspasios Las Ramblas,"Barcelona, Spain",41.37929,2.17266,f,t,t,el Raval,Ciutat Vella,Entire serviced apartment,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Central air conditioning"", ""Freezer"", ""Dishes and silverware"", ""Paid parking off premises"", ""Coffee"", ""Crib - available upon request"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Clothing storage"", ""Wifi"", ""Shampoo"", ""Wine glasses"", ""Smart lock"", ""Pack \u2019n play/Travel crib - available upon request"", ""City skyline view"", ""Body soap"", ""Hot water"", ""Fire extinguisher"", ""Refrigerator"", ""Shower gel"", ""Iron"", ""Room-darkening shades"", ""Self check-in"", ""Safe"", ""Essentials"", ""High chair - available upon request""]",2014-12-31,2026-06-22,Spain - National registration number<br />ESFCTUA0110805600002362600000000000000000HUTB-0024599<br /><br />Barcelona - Regional registration number<br />HUTB-002459,11.0,11.0,2.0,4.0,2.0,2.0,3.0,3.95,272.0,1.0,7.0,7.0,2.2,7.0,3,28,58,324,5.0,2.0,0.0,1.0,255,69360.0,4.57,4.68,4.75,4.62,4.7,4.68,4.5,2.0
1010,"Bright, central, spacious, 2 bedrooms, Balcony, AC",21825503,Aspasios Las Ramblas,"Barcelona, Spain",41.37778,2.17266,f,t,t,el Raval,Ciutat Vella,Entire serviced apartment,Entire home/apt,"[""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Central air conditioning"", ""Freezer"", ""Dishes and silverware"", ""Paid parking off premises"", ""Coffee"", ""Crib - available upon request"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Wifi"", ""Shampoo"", ""Wine glasses"", ""Pack \u2019n play/Travel crib - available upon request"", ""Body soap"", ""Hot water"", ""Fire extinguisher"", ""Refrigerator"", ""Shower gel"", ""Clothing storage: closet"", ""Iron"", ""HDTV with standard cable"", ""Safe"", ""Essentials"", ""Outdoor furniture"", ""High chair - available upon request""]",2015-02-09,2026-06-17,Spain - National registration number<br />ESFCTUA0420805600002362600000000000000000HUTB-0024661<br /><br />Barcelona - Regional registration number<br />HUTB-002466,11.0,11.0,2.0,4.0,2.0,2.0,3.0,2.87,316.0,1.0,7.0,7.0,2.2,7.0,11,38,68,334,5.0,2.0,0.0,1.0,255,4900.0,4.62,4.77,4.69,4.56,4.71,4.77,4.55,2.0
1011,"Family beach, quiet neighborhood, fully equipped.",4030082,Pau,"Barcelona, Spain",41.40361,2.21106,t,t,t,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Coffee"", ""Smoke alarm"", ""Heating"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Induction stove"", ""Hair dryer"", ""Patio or balcony"", ""Toaster"", ""Dedicated workspace"", ""50 inch TV with Amazon Prime Video"", ""Carbon monoxide alarm"", ""Microwave"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Shampoo"", ""Wine glasses"", ""Baking sheet"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Shower gel"", ""High chair"", ""Iron"", ""Room-darkening shades"", ""Essentials"", ""Extra pillows and blankets""]",2015-03-06,2026-06-21,Spain - National registration number<br />ESFCTU00000807200084408500000000000000HUTB-011424-492<br /><br />Barcelona - Regional registration number<br />HUTB-011424,13.0,13.0,4.0,4.0,1.5,2.0,3.0,2.91,185.0,1.0,1125.0,1125.0,2.0,1125.0,2,6,22,181,5.0,2.0,0.0,1.0,255,47175.0,4.77,4.86,4.83,4.91,4.95,4.73,4.66,2.0
